indicator,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Conservation of specific important habitats and cultural sites,16.61822,-4.375747,3.081938,-4.8184342,-3.981507,6.558986,1.6732656,-2.0983026,-1.9812193,0.59528774,-0.44784546,-0.9968941,-3.7879157,1.3830628,-0.8400592,0.86889833,0.11883703,2.1123106,-2.004447,0.12379181,-0.010008454,1.2377832,1.1764848,1.3030119,-1.9418058,-1.8103034,0.5930635,2.8813827,0.55327743,-1.820974,-0.66760945,0.6012883,-1.4030321,-1.394496,0.7786155,0.7709303,1.9689109,-1.2873335,-2.0941288,0.5756719,-0.13361697,1.1978928,-0.97183347,1.839552,0.46736285,-0.02799493,-0.5490358,-1.2513382,-0.36976954,0.1209642,0.6136748,-1.2207047
Protect hunting and trapping area,7.382554,-0.84814286,-5.4053216,-3.524784,-2.2728925,-4.153209,16.629711,1.1204231,-3.8375154,-4.4824014,1.233194,7.7724347,2.1107988,-0.21773171,0.4506057,1.3076583,-3.1658683,-1.9644696,1.0150845,1.5521718,-0.3433016,2.9770286,-2.8649678,-3.0960262,-1.2271415,-0.1642406,1.0203495,1.98441,0.68096197,-1.7130666,1.486058,-1.6758554,0.557867,2.7366014,-1.5084825,-2.7870684,-0.51373935,0.8546239,0.4961956,0.8935723,-2.407808,-0.76922494,0.13614851,0.50051737,1.6411268,2.9072812,1.5617507,-2.6003115,0.6084676,-1.1763376,-2.5379274,-0.4445425
Diminish the negative visual impacts of forestry operation,4.823006,7.5429115,0.32013538,-3.180334,4.1328216,0.73971736,9.040295,-0.042348832,6.889753,-0.6146069,-1.4070294,1.285652,1.8347006,-2.1241004,1.106756,1.7854145,3.1137319,2.1107368,1.512584,7.3523726,-1.8282869,0.57671076,3.34995,1.1287278,-2.8039436,-1.7936879,-6.752059,-2.4802473,2.3211095,-2.150981,-2.7175202,-4.284286,2.4715407,3.5756204,1.8424277,-4.784813,0.09320694,4.1886334,2.2018626,2.0559351,-2.0117598,-0.43980873,4.088979,-0.10050714,1.8281686,0.864447,-4.00941,-1.8397248,2.639124,1.8604827,-3.6449988,0.3604727
Variety of flowering plants,3.2327316,-0.6517242,6.9059205,-6.131821,-1.7961953,-1.719109,-2.057136,-0.64566326,2.0167139,-1.8509881,-4.4261246,2.1308908,3.3889947,-0.8573451,-4.6893835,-2.8209982,-2.1186502,-0.6682069,0.1504442,-1.1524487,-1.228241,-2.091292,-0.2642583,0.34758067,-5.7296944,-2.0914145,1.252905,0.24421844,6.449369,6.1466365,-0.68147707,-0.36349782,-0.27459106,-4.4285765,1.4099476,7.431624,0.58243394,-2.018383,3.86766,1.1138835,-0.35700312,1.7935772,-2.1299825,-1.2660774,1.9021175,-1.0348321,0.41935626,0.55999315,1.383261,1.8392279,0.595153,3.9330463
Number of healing plants,6.1119003,1.2242835,0.02979048,-1.5540941,2.949106,-2.1073809,-1.0764115,-0.2882621,0.06277439,0.4984117,-3.3893054,4.1400285,3.3558357,-3.386134,-2.0327718,2.5935073,0.3182173,1.6020072,3.3566964,0.8660199,-2.7838328,-2.6070645,2.5619311,-3.4358444,-2.4104543,-1.1444937,0.65224236,-1.6190344,2.8002477,7.836996,-1.8424494,2.3485909,0.62436116,-3.9142437,2.0179877,6.045751,-1.2418487,-1.3776009,0.057106256,0.7888512,1.4125386,0.20815682,-1.4158214,-1.3924208,2.4286952,1.1482941,-0.92151165,0.9619187,0.25252426,-1.277981,0.16936246,0.6719976
Rareness (% of area in the study area),0.5026568,4.080326,2.3293762,5.0235367,-1.3974391,0.22582692,-2.0761094,0.46701247,1.1334636,-3.188218,0.98546547,-3.2857728,2.059636,1.1824503,0.38501805,0.13131556,-3.685154,-7.8015995,4.731976,-2.94735,1.2967601,4.1759915,-1.2640787,0.22178707,1.363284,-1.3766438,4.272214,-0.22787927,0.43705526,1.1742792,1.9926999,3.9741745,1.6739967,-1.5722349,-3.5216146,-5.849169,0.69437087,1.8685153,-4.766804,0.2930499,3.819595,-2.7679324,-0.08786307,2.3922553,3.12306,-1.3534548,-2.0488698,0.4901263,-2.3373713,-2.6336222,-0.21808824,0.73326564
Results: delivery of cultural ecosystem services indicator,6.6869273,-2.9161801,-4.903061,2.3551693,-3.9598913,2.1410594,-4.8996434,-3.2906315,3.3090506,-1.4773283,-4.4650383,-1.7449925,-3.564526,-1.9719815,2.2127662,-3.6218188,-2.0906267,2.7542152,0.22843973,1.5357914,1.0719737,4.043882,4.1601887,2.7793481,0.0073049963,1.9221084,-0.015485436,-1.6101491,-0.72989345,-1.928168,3.3797038,1.0240515,-0.42442852,-1.5352558,1.3359977,-1.6250049,0.51208866,1.0116642,-0.34065282,1.2168674,1.2055211,0.80532414,-1.4903917,-2.684472,-0.7418608,-2.4071558,-0.17822169,0.63937837,2.28609,2.1393971,-0.50876623,-1.3217326
Existence of old habitat trees,7.853144,3.1381178,8.574217,-1.4406207,-2.669656,-8.502061,4.6985936,0.25371033,0.15171486,-5.8085446,-4.5911164,-0.7010564,-3.0280976,-3.0946078,0.45839167,2.4985683,2.4980345,1.8608902,1.2414112,2.6938634,-1.7165,-0.95595074,-1.1428838,-4.923714,-1.3161772,0.17404796,-4.728322,0.890067,0.668645,0.35654318,-4.864526,-2.7857957,1.6018128,0.86956257,2.7395422,1.7921154,-0.06298442,1.0261794,2.018724,0.38456002,-0.21807733,-1.1151223,0.30800223,1.1756712,0.69110847,-0.5625905,1.6136777,-1.604445,-2.3145258,-0.9739802,-1.799469,2.958046
Revitalization historic spaces,6.6466727,-2.6045437,-0.43213925,2.3378909,-1.8613188,-0.089073956,-10.049725,-2.8752656,4.527977,-1.1604136,0.54521674,-4.414403,1.9886932,-2.512559,-2.2720988,5.737071,-0.7924985,-4.045733,2.103909,-1.7243097,-2.5851626,0.009770274,0.6331985,-2.6252942,4.4009156,-0.81765676,0.62895536,0.40936708,-3.735393,0.12858547,-1.3771095,-1.8276248,1.1556444,-0.95992917,1.3316715,1.0081426,-1.8000823,2.4339626,1.2785075,1.9707873,0.38690484,-0.67489535,2.6281605,0.91047186,-1.1258036,-2.9172525,0.115563035,-0.70913684,0.086824045,-1.4140893,0.5819043,0.20568764
Enhancement urban green,-1.1129563,-2.816433,-2.081754,-4.125113,6.0969286,-2.8276625,-6.1224823,5.533154,2.1847482,-0.41874534,-5.5077424,-1.7477014,2.255809,-0.20383263,2.192913,3.3219528,3.8075893,1.0104641,-0.45328665,2.587683,-1.0563343,-0.8449458,-3.0579035,-3.9038072,0.19361898,4.8070765,-2.358561,1.7143091,-0.7796509,-0.2988499,-1.3515078,-2.8311536,-1.4313416,-1.8956894,-0.083897725,-0.50797015,0.5406687,0.4097433,-0.12308927,1.4611815,-0.007280886,1.1745617,-1.1741027,0.035646245,-0.32396597,0.61829406,-0.25197852,0.088658646,1.0410143,-1.1110451,1.8368198,-1.6528838
Value of the skyline landscape,6.78372,-5.2999997,-0.91535485,-2.5097156,0.7837456,4.8886495,-1.2441763,8.872345,-1.502787,4.6613073,-1.2014714,-5.75835,6.412844,3.553735,-1.0261956,0.005387932,1.9662004,1.4475708,1.0797964,1.6680921,-0.97926563,2.1274285,1.548178,-0.6721034,-1.0790397,-0.7040351,2.17941,-2.2467089,-0.5048178,-2.1261046,0.4332533,1.0906701,-2.856955,1.5354805,-0.04524854,-0.987772,-1.037889,-0.03771119,-2.7486472,-1.9333593,0.8776959,-2.3102167,-0.41446945,0.809523,1.1146946,-0.27602,-0.11423516,-1.9896871,-1.4575993,-1.1452744,1.0669978,1.9522914
Pressure of parking,-4.7666883,-3.038352,-7.6526546,-2.615269,-0.49519736,0.36701357,7.7098265,2.8597343,-3.7861798,-4.1659517,2.62495,1.1709157,2.2307937,-0.3633402,-0.2996111,6.115045,-6.050105,-1.3973563,-1.6100022,3.871873,-2.276294,-2.5727735,-0.3356006,4.5985928,1.1157753,-1.8007452,2.8310752,0.186019,-3.983987,-0.72071236,-5.900915,-2.6738915,-0.35538763,0.11549902,-1.6181724,1.0768547,6.3819294,-0.3001524,0.4735694,0.95192283,2.2728868,1.8507308,-1.2398307,1.4375794,-2.777911,1.3998713,-0.13556509,-1.8969733,2.1082397,3.154243,-2.1525471,-0.26949102
High architectural values,3.6347237,-5.0380282,0.060290113,5.6538076,0.13755713,6.65961,-5.0112967,7.0555754,-4.461954,3.3132575,2.2739403,-5.711654,7.7800574,5.968356,2.854062,4.161572,-0.61786085,0.048081666,0.9507716,3.0289536,-1.7599177,-1.7497711,0.8482537,-1.7018567,-0.9287195,1.6991286,1.4164702,1.1260005,1.5873423,-0.4647045,-0.53187746,-0.41659015,-3.209459,-1.2475275,2.8350189,0.39003396,0.29506972,-2.1347342,0.10645369,-1.0555012,1.0437099,-0.5972994,0.6653697,1.403737,-0.26329333,1.6987488,1.1111077,0.07320118,-1.6037705,1.0810612,0.23355621,1.0067344
Conservation of facades,0.92649007,-1.5316095,0.60530466,1.9724476,-0.94811505,-3.806657,0.5583671,-2.0842395,-2.7342665,-3.69874,2.1561284,-7.6078362,-3.019783,-4.4167147,-3.072125,-3.7148323,-1.7911825,-1.5553147,2.5525637,-7.584634,-0.7007673,-1.7215363,0.39948615,2.3765204,-1.3206589,3.7834668,1.6109636,3.2945852,0.055659443,2.1137333,-4.1528044,-3.2448802,-2.3124833,-4.001659,0.78012186,-2.5037498,-1.0793192,2.4729578,-2.142717,1.9286892,-0.703764,-1.3791528,2.5435717,1.7478079,-0.10918818,3.4135725,0.59834236,3.1926823,0.08683703,-1.4886503,0.018117398,0.4916712
Occupied spaces,-1.6517382,-3.2369857,2.0485227,1.0170598,-0.94893336,-5.9023466,3.179988,-0.30656952,-0.6982584,2.4562907,4.143899,-2.0525422,1.3866849,4.0619493,-3.2750466,4.241688,-0.24521902,-0.45644462,-2.558775,-1.647365,2.2344186,0.8068316,1.4065808,-3.5202415,-5.3098426,-1.7858441,-2.4062066,0.10981399,-5.2633247,1.2292451,2.053597,2.1861515,-1.7358251,3.8499498,-1.9195609,1.7426083,-0.39735466,1.4451977,-3.362844,1.4923264,-1.187113,2.2629209,0.6297727,1.1580963,-1.1362343,-2.7441373,1.15046,-1.3629539,-0.20732845,-1.361136,1.1140655,1.1786897
Hotel architecture harmonized with environment,4.7222886,1.5624319,-0.08225548,2.1728387,6.4628983,4.8701806,-7.6674943,0.47263068,-0.41656765,0.8332883,2.1526785,0.22977817,0.26052487,-3.4275904,3.897864,-3.3854842,-0.017110385,2.372458,-2.7719564,0.79837924,-0.5259069,-3.4886565,2.4591608,0.3029065,-3.4993114,1.8259286,0.24331792,1.9112346,-3.0333776,-0.3242477,-2.6919155,5.7868843,-5.2249265,-1.0109869,-0.12251255,0.6622473,0.5787861,-0.70728755,0.115341246,-2.6363096,-0.89158994,-0.81093717,3.6110895,-0.92313594,-0.794588,1.3792033,-0.85292125,-0.17823842,0.49292654,4.2357326,-1.762362,1.6225438
Garden planning suitable with environment,10.022837,2.3888924,-1.7292511,-4.751645,2.8018842,-2.2551794,-4.690971,6.842124,2.5521593,-5.776545,-0.19562647,2.5328853,0.31848228,0.18401505,-1.2208725,-3.0654616,1.6348054,1.1220516,-0.8793346,3.9214644,2.4698546,-3.392436,1.2280977,3.0704772,0.9651425,-1.312975,2.3057625,0.37662688,-0.59520704,2.0146365,1.0137814,3.0450687,-0.30640203,0.08340031,-1.6541588,0.23347864,1.510139,-1.7668531,-0.6421345,0.15925795,-0.15770018,-0.6506986,-0.68885964,-1.8507668,0.6776324,0.59034604,-0.5753418,0.70472467,1.9166408,1.1209905,-0.085852325,1.5011914
Plan that does not spoil natural and historical environment,14.329573,5.641332,-0.5592238,-3.4942412,6.142951,2.6276991,0.123693556,1.3833928,-1.0653572,-3.718596,1.8011494,-3.4431534,-0.6978589,-2.192142,0.855774,-2.5863876,2.0690954,0.18222499,0.21980458,4.0771217,3.3335838,-1.9902205,0.8597467,2.3416438,2.1238294,-1.6827884,0.40864235,0.029525429,0.73533726,2.2622902,-0.47809428,-0.63799185,-2.525923,-1.3845088,-1.3541923,-0.9259982,0.66710806,-1.8387389,0.7658686,2.30345,-2.7486134,-1.0096903,4.935869,0.0992746,1.2992156,1.9333129,0.9961306,0.5067804,1.1100379,1.298879,-2.7665784,1.3918653
Spatial coherence,0.2074076,-0.64463735,-2.58338,3.5412498,1.8963141,-6.627365,-0.5565226,1.2262063,0.10430497,3.2073383,-0.22944531,-5.594838,-1.8059026,-3.7125492,0.63842255,-0.38266134,-0.8546667,-2.0701425,1.3640165,-0.60285753,1.0943236,2.6039207,0.93730426,4.0696707,-6.1209,-0.41402394,-0.030943505,-0.35910302,-1.5235803,-0.23674318,3.5750518,4.069529,-2.267953,0.7782918,-2.26199,1.0292279,2.494842,0.1981769,0.28565747,0.41514271,-0.53341436,2.51206,-0.73542297,-0.6760058,-1.1639792,-1.734562,-1.5426137,1.0874608,-0.97854817,1.1058116,-1.3611052,0.9198855
Renovation and new constructions,0.44872653,-1.682347,-0.25382912,8.837933,-0.34123152,2.0791118,-8.129926,0.99801165,3.8857079,-7.635646,2.0572908,-2.6080332,2.3556285,1.8800211,-1.6209929,5.8805327,3.7323194,-7.825259,1.1063381,-1.7632318,3.992937,0.92066675,1.3945637,-0.48034772,0.5472336,-1.4412723,1.1492071,-0.6491486,-1.3992238,-2.099516,-0.3014768,0.065237254,2.4946613,-2.0105262,3.5450969,0.8271972,-2.1245284,-3.6611965,-0.7904146,1.8712344,-0.2588831,-2.0477188,2.5489938,-0.58347404,-1.355009,-0.45302862,1.4870415,0.16422531,-0.9987166,0.92225444,-0.12988101,1.03593
Parking places in building surroundings,-1.9135823,-1.9548392,-0.6542791,-6.027807,4.155721,3.5618136,3.6044683,8.590963,-7.234891,-4.0077934,7.442655,0.7446168,-2.0542054,-4.656347,0.13409436,2.6142354,1.232678,-0.8315019,0.3356923,1.6007597,-1.7742773,-4.1543484,1.2037468,3.9569461,0.56698406,-1.0428405,1.4638209,-4.954792,-2.7816725,0.3427088,-4.764499,-2.9055228,-4.141252,1.2031941,0.18443507,3.033785,3.5107265,0.8576554,-0.5332322,0.2744069,-0.43201005,-1.7415833,-2.7350123,-0.22715431,-0.9996673,-1.3088809,-1.8843642,-1.3505378,0.7889977,2.6630278,0.25873655,0.5052326
State of the building,-0.1496941,-4.3249598,0.7815662,5.5177956,2.395608,1.2345899,-7.680574,2.8517253,-2.2176332,1.9588585,2.6417549,-6.3220434,6.3598647,7.9892406,3.003479,2.8873475,1.803132,-1.0637991,-0.5715065,0.43170974,-1.2189487,-0.1838986,-1.2061586,-2.574988,-3.674262,-0.5900472,2.0713928,1.7719669,1.803392,-0.031276256,1.9744701,-0.7322538,-0.78732944,1.2604336,2.7314456,-1.2084584,0.016852975,-2.679277,1.1649171,1.185138,1.7507378,-2.5312715,0.7043747,0.36588123,-1.5697632,-0.0892953,1.9569874,-2.2496617,-2.1838794,3.5286427,-0.577469,1.6037894
Funds for the improvement of the physical urban environment,-0.77276254,-4.2895007,-5.4901567,-7.8909373,3.3142304,7.0395617,-4.57238,7.567686,0.8178451,1.1043751,2.2290268,-2.1517959,1.4691536,3.0961437,-0.35351884,1.6002388,3.7229505,0.07554406,4.559105,-2.5560794,2.307216,0.34054986,1.009164,-1.0554488,2.7894578,-0.1453951,1.4546356,-0.8016727,-0.42256618,-0.07394081,-3.6929662,1.21116,0.73532933,-0.36792478,-3.8152,0.8049355,0.99872553,0.98260605,-1.1190214,1.7298176,0.0953224,-1.2506087,0.8941689,3.3278084,0.38298833,-0.29499048,-0.06221676,-2.909554,0.896464,0.41739488,1.1083336,-0.49488664
Urban green space,-5.2712526,2.5614805,3.4395187,-4.594305,6.8499937,-3.393375,-3.3709805,4.6742573,-0.4461311,-1.079685,-3.1564507,-1.7441185,0.8616449,2.2082076,1.7166756,3.4368193,2.8444724,1.3551401,-0.63634694,-0.29142413,-0.7056981,-2.1604981,-1.9252622,-1.9052913,-0.4504153,0.45250726,-1.481624,2.50842,-2.1430955,-0.3250791,1.9336686,-1.380136,-1.567091,-0.6790695,-1.8393104,-0.973822,1.8157161,-1.4839464,-0.102897994,0.4239707,-0.7041137,0.011484355,0.8495736,-0.29142526,0.5663959,0.5118519,-0.51228064,0.027763486,0.9450805,-1.9269876,0.2579075,0.4749015
Number and visibility of disturbing elements and objects,2.1961393,-4.9749064,4.2353973,-6.0524087,-0.637179,1.3045152,8.923489,-3.9586878,1.9278572,4.3027873,4.603257,1.0324261,4.9916644,0.43730503,-2.0486794,6.777655,-0.5811557,-1.2493649,1.1989305,4.3105006,3.2371063,0.2011976,1.1922987,-1.0891309,-1.2198873,1.6449997,-2.331369,7.274873,1.1655384,2.7545497,-0.8604975,1.4125607,4.2541485,4.913918,1.3470991,1.6951749,-1.0760787,2.337802,-1.3450679,-1.2985713,0.8812251,0.05653985,-0.75054836,-1.2119974,1.6329995,2.7107267,0.04756576,0.31097507,1.374295,-0.4987788,-1.6502813,1.8233331
Parkland,2.5316808,0.23863739,5.727908,-5.0990605,1.387238,-3.0703135,2.9914758,6.2302547,-2.619033,1.077801,-0.082984895,0.68505156,-3.2097893,2.2650402,4.816028,0.31497192,0.4805507,-1.3357913,-4.010339,0.12420452,2.0052361,-2.961652,-0.7855405,2.2894733,1.6606519,-0.4863832,2.0065057,-1.2454765,-2.7303374,-3.6806784,0.58928674,1.4620997,0.99248207,-0.78405786,1.8569175,1.1158719,-0.27647942,1.0430118,1.4647353,1.1885866,2.4140952,-0.8170787,2.3029084,-2.63894,-0.12511909,-0.95745486,1.7406957,-2.0680583,-0.34664845,0.4918844,-0.10422986,0.8684701
"Places of socialisation (parks, benches, etc.)",-0.41480327,-3.0939035,8.282257,-7.2090254,2.8466632,0.82323265,-0.91839474,0.31371495,-4.761928,1.0523889,-2.1936896,2.7204893,-8.063255,-2.5931804,2.4770205,1.8564117,-3.1977744,-3.4995003,0.5171345,2.4355555,3.0234048,-7.5002694,-1.9164524,1.9233638,-0.029487312,3.260071,0.5565525,-6.725292,1.5098784,0.22659199,-0.9315208,0.8091536,0.5473096,1.8062289,0.86633056,-1.0534961,4.6746583,4.2168074,2.1654124,2.8906844,0.70032,-1.6896188,0.95044345,-1.1187923,-1.5953457,-1.149591,1.0512199,-1.3394824,-2.386306,0.41108298,0.6085953,-0.8321211
Increased harmonization of landscapes,3.8983405,1.8684921,0.93937486,0.054572105,5.396106,-4.3877363,-3.17195,4.4504724,0.97043276,-0.67695165,-5.955734,-2.5826094,2.098411,-5.370098,3.3867013,0.43768537,-2.2425456,0.03416108,2.4562697,1.8855498,0.23552611,2.3078172,3.991292,5.368696,-4.9833465,0.14987391,1.3345407,-1.6800058,-3.278041,1.3432319,-2.1577275,4.6688128,-3.308835,0.74223685,-0.37349805,0.26601052,-2.128627,2.1219711,1.6589787,-1.6228226,-0.8372489,-0.4621179,-1.2441443,-1.0482571,2.2337604,0.75762594,0.389071,0.6215533,-0.5791108,4.6623635,-1.183605,-0.22786272
Loss of landscape elements and character (tangible - intangible),3.5385206,5.11253,10.874897,-4.764608,-0.6493609,1.2468572,6.4191008,3.287414,-3.0208182,2.8243177,-1.2597897,-3.6797512,5.060211,0.8696114,1.928705,1.0142696,3.2247033,-0.671264,3.0215206,2.844595,-3.9418583,3.0853553,6.3438005,1.985125,1.4314929,3.6121912,-0.4886394,-2.6666784,-0.9113439,-2.6975613,-1.2537727,1.1356302,2.232307,1.6165342,-1.0300236,0.1354604,-1.938201,-1.4737561,-1.3184235,-2.1281576,-4.230624,1.6776719,1.1929154,-1.0249043,-1.6620746,0.14989287,0.22085992,-2.3152273,0.25990945,-0.23767632,-0.56679404,-0.78099495
"Impairments through visual, acoustic or olfactory disturbances",0.7877704,1.7609725,6.7573223,-1.8229995,-2.005431,3.5445657,2.8574488,-4.7690005,9.009114,3.4648757,1.8356806,-4.216313,0.16765329,-1.6183311,-0.45253775,1.6001228,-2.5526352,-0.69429475,-3.8770485,2.4416003,0.3681263,2.0995338,4.9373884,-0.67631066,-3.1591847,4.575899,-4.0753307,1.1849222,4.3979244,-1.0622416,-4.9101925,-0.1055641,1.4603047,2.3578255,-2.395426,1.6182158,1.2280477,-1.4666637,2.5371237,-1.8781769,0.6131699,2.4734285,-1.0307076,-1.5844237,-1.4814122,1.0752646,1.3714743,0.23622772,2.6698284,-4.0172048,2.5702038,2.3186064
Impairments or loss of natural or cultural heritage,9.4577055,1.4514706,5.2733097,-6.1515746,-4.5457273,6.6622677,-2.120933,-0.18403326,1.160997,2.4461133,-1.0940694,-4.0047684,-0.9406195,1.3008962,-0.78543055,5.9135194,2.3398046,-1.1072481,-2.1421494,1.0069746,1.567713,-0.65619236,3.2118075,2.4349747,1.2025431,-2.1669557,-3.3387272,2.111023,-1.1288117,-3.1503766,-2.754208,0.34141612,2.449984,-0.012616217,-0.0777362,-2.7096357,-0.8025706,-2.2551632,2.9972782,-1.1511784,-1.62645,-1.5660422,2.9979672,-1.3739548,-2.6802166,1.9565765,0.18376398,0.82800114,1.2127312,-1.8289508,-1.0691043,-1.7770944
Landscapes injured,7.800521,3.3120694,3.5644555,-3.8471987,0.5779889,-2.050014,2.025825,7.336485,-0.39332914,0.18069407,0.38652927,-1.0436573,1.9842728,3.114717,-3.4480677,3.32335,2.112789,0.01060611,0.86331546,0.4472735,-2.7102866,2.3956285,6.7288766,1.234861,1.2656972,-0.13633204,-3.9893987,-3.4840007,0.313927,1.5658566,-3.3107958,-0.09285955,5.7814817,1.9899917,-1.378821,-0.105510384,2.0898116,1.9423175,2.7454262,-0.82540303,0.56113076,-2.3542953,0.3614729,-0.21156722,-1.3740733,1.1950825,-1.0183653,0.61877203,-1.8028775,-0.86843294,-0.22021121,-1.6535407
Comparability of new construction with local vernacular,-3.2660425,-0.7302494,5.80474,5.723838,-1.2962649,5.9956465,-4.2057934,-3.1618326,2.4264946,-5.725103,-2.1171703,-2.0766273,4.196227,-3.6556268,3.066432,-5.0387244,5.2225924,-3.4192986,-2.5815728,1.7379508,3.2285233,3.279861,1.0225518,3.7684364,3.1225255,-0.2981164,-1.8835438,0.6883701,-0.33129537,-1.6640604,-0.42726,-1.7872086,0.7045775,-0.069642425,-0.66208076,0.4243415,2.4467185,-3.1357374,2.2269819,-2.7966192,0.7335028,-1.6199323,1.5962243,-0.5495016,-1.768411,-0.48597538,1.8281046,0.3907448,-4.9088125,0.58385813,1.1808038,0.93849385
Types of building material and decor,3.6500456,-4.84188,2.199112,2.156513,-2.4236412,5.052151,0.5912503,1.808823,2.9233522,-4.0921245,1.6065769,-1.7559016,-0.34330738,-0.45081863,-0.0621109,0.8372911,2.458403,-3.732484,-4.635754,0.1702414,-0.8511793,-1.9409153,1.5755061,-0.92128646,-4.9075274,0.61578184,-2.3282428,-1.3660266,5.098288,-0.03539008,-1.8158898,-0.9369062,1.2211303,-2.249953,5.947668,2.242055,-1.0831792,-0.21087162,-1.3184586,1.5259652,0.626556,-1.8873688,-1.6277959,-0.019134015,0.67948073,4.8159575,1.4709139,-0.4168514,2.0510142,3.194924,0.50821227,2.9766886
Using local material in construction,5.689725,2.2605987,0.33518708,4.6752324,-2.3338706,4.1847706,-0.46725738,1.4503379,-0.74747026,-4.515565,0.5184356,0.7006254,1.792633,-2.7083063,0.31528014,-3.0097494,8.1322155,-0.1659572,-0.5648966,-1.8963563,2.3449273,0.97354496,-0.43781674,1.9533948,1.4592727,-3.1558352,0.98918545,1.4371381,-1.4621272,-4.217782,1.988273,-1.0400939,4.2341056,6.4649916,-2.4179473,3.647863,1.478341,-2.5020962,2.178152,-4.1066484,1.9765925,-1.7161901,-3.5175576,-0.2615864,2.3792648,2.246345,-1.029787,-1.1750481,0.20415556,1.3633101,0.39453816,1.6990921
Percentage of renovated buildings,-1.7665169,-3.1846173,3.396608,11.992964,0.3251884,3.9616385,-5.669889,0.16325736,0.37847778,-6.4276323,0.10266943,-1.7350765,1.0466325,1.0454895,-2.1113153,4.77505,1.0581537,-3.5519168,2.6237571,-1.2757641,0.5394105,2.5824242,1.3678925,-3.5033991,-2.8600798,1.8438137,0.69648445,-2.068707,-0.8868923,-2.0314765,-2.222199,-1.8737324,0.570526,-2.3247976,3.191253,1.3744352,-1.4854106,-1.7779264,-2.4598522,-0.20989797,1.345207,-4.607048,3.5763247,-0.82896703,-1.1371439,-0.12086901,1.0694443,-0.7166721,0.32098794,0.4681909,2.650952,-0.13570276
Potential landscape quality index,9.009529,1.2675854,2.0692918,-6.202602,1.7890618,-1.9132292,-3.4082165,10.964259,-0.6886232,-2.0755289,-3.1772966,-0.56442845,3.384668,0.5838589,0.49801272,-2.597643,-2.0806158,-2.0057664,-0.21708867,0.75286126,0.19229588,1.6205993,3.8860552,0.7064248,3.105204,0.96827346,2.7768328,-3.2527544,1.7063427,-0.23042396,0.5870292,-1.1610973,-1.7546699,-0.55127704,-0.3434978,1.5029025,-1.6106789,0.10519759,0.13463128,-0.8050384,-0.32373697,-0.19468889,0.2580409,-1.3110092,1.3615866,1.1557009,-0.36785042,3.0028825,0.00274688,0.55475307,-0.506757,0.6151257
View-leading elements,2.1387398,-6.5920806,-0.7885451,0.15554781,0.011822164,-4.774337,-5.488544,0.6093285,-0.22755426,6.5438013,0.23880345,-6.559229,7.2389717,3.43407,0.55040073,-3.4698787,-2.5861745,-2.4028296,-0.03510505,-1.7158976,-3.440532,-0.36914468,-1.1534683,1.8805712,-0.73244786,1.0944115,0.604401,2.0850625,3.8221214,-0.43316948,1.3041543,0.48526233,0.5156434,1.7906262,2.290449,-2.1254425,0.26640987,-0.6983063,-1.4690711,0.98724246,2.4946637,-0.22558089,0.08990065,2.3985934,-0.28489769,-0.011785209,-0.27245975,0.59045523,-2.3222897,0.67740273,0.13348827,0.68824875
