,indicator,indicator,indicator,indicator,indicator,similarity,similarity,similarity,similarity,similarity,type
Proximity to residential areas,Resident population density,Distance from the nearest residential area,Number of household members,Household density,Proportion of households living in houses,"0,78","0,74","0,66","0,62","0,61",cultural
Rareness (% of area in the study area),Number of days ozone O3 concentrations exceed 120 μg/m3,Proportion of population aged 75 years and over,Regional Materials,Accumulated ozone concentration in excess 70 μg/m3,Land reclamation,"0,43","0,41","0,41","0,38","0,36",cultural
Recreation (motorized/non-motorized),You have vehicle (truck / car; motorcycle / scooter),"Reuse potential of the city, region","Computer, cell phone, microwave and DVD / VCR",Onsite wastewater recycling,Playing and recreation facilities,"0,55","0,41","0,39","0,38","0,38",cultural
Regional products sales (% PDO label),Modal share by trip purposea,Share of e-business and E-commerce transactions,Shannon index of economic diversity,Municipal biodiversity strategy budget size,Dynamics of the economic sectors,"0,49","0,48","0,48","0,47","0,46",cultural
"Religious or sacred place, feeling or value",Safe cultural and religious sites,Feeling of belonging,Touristic attractiveness,WiFi hotspots,Protection and management of cultural heritage,"0,55","0,49","0,44","0,37","0,34",cultural
Remains of periods,Elderly population,Proportion of population aged 75 years and over,Lifelong learning,Proportion of people 65 years and over,Recycled Materials,"0,5","0,47","0,45","0,44","0,44",cultural
Renovation and new constructions,Construction Plan,Built,Innovating Practice,Housing construction materials,Developing new energy,"0,65","0,65","0,6","0,59","0,57",cultural
Research  centers,"Infrastructure, systems and strategies for data collection (sensing, mining, etc.)",Education: Research and Technology,Importance as a knowledge hub,Research and development expenditure,Rate of employment in knowledge-intensive sectors/ creative industry,"0,57","0,49","0,46","0,44","0,41",cultural
Respect for residents life-style,personality and neighbourhood,Identity and local culture,Presence of user assessment of favorite and least favorite park facilities,Participation in Cultural and Leisure Activities,Heritage and Cultural Identity,"0,62","0,51","0,47","0,43","0,41",cultural
Respect for residents traditional culture,Heritage and Cultural Identity,Protection and management of cultural heritage,Identity and local culture,City council of culture and historical heritage,Community attachment,"0,78","0,62","0,62","0,5","0,41",cultural
Results: delivery of cultural ecosystem services indicator,Status of implementation of quantitative evaluations for biodiversity and ecosystem services,Shared architecture for multi-level governance and inter-agency collaboration,Cultural Facilities,Protection and management of cultural heritage,Life Cycle Assessment,"0,5","0,49","0,47","0,45","0,45",cultural
Retention of local customs and language,Identity and local culture,Heritage and Cultural Identity,Proportion of households that are 1-person households,Change in Number of Native Species,Local and sustainable industry,"0,65","0,55","0,42","0,41","0,41",cultural
Revenues from tourism (% farm income),Agricultural Production Acres and Value,Percentage of subsidies granted,Wealth Index,Family farming participation in crops and livestock,Percentage of agricultural lands,"0,69","0,56","0,55","0,5","0,5",cultural
Revitalization historic spaces,Developing new energy,Renewable Energy Production,Innovative Spirit,Innovating Practice,Renewable energy,"0,56","0,53","0,53","0,51","0,5",cultural
Safeguarding the terraced landscape,Reserves and protected areas,Safety,Natural hazard mitigation and protection,Conservation of agricultural lands,Areas of protected natural spaces,"0,81","0,68","0,67","0,65","0,65",cultural
Satisfaction living/working in heritage area,Satisfaction with cycle paths,DEMONSTRABLE EXPERIENCE IN THE SIMILAR PROJECTS,Satisfaction (perception of) with quality of life and urban services,"Citizens satisfaction of municipal Health, safety and enivironmental services",Satisfaction with safety as a cyclist,"0,59","0,57","0,51","0,51","0,51",cultural
Scenic Arts,Protection and management of cultural heritage,Biodiversity and Habitat Conservation/Restoration,Nature Conservation and Biodiversity,Touristic attractiveness,Space allocated to nature conservation,"0,53","0,53","0,5","0,46","0,46",cultural
Scenic beauty,Touristic attractiveness,Harmony with the surroundings,Natural Landscape Indicator,Smart and appropriate location,Nature Conservation and Biodiversity,"0,67","0,44","0,44","0,44","0,43",cultural
Scientific/educational landscapes,Education: Research and Technology,Education level of the population,Recreation and Education,Level of qualification/education,Percentage of population with tertiary-level education,"0,7","0,6","0,58","0,57","0,55",cultural
Sense of place landscapes,Natural Landscape Indicator,Proportion of Protected Natural Areas,Areas of protected natural spaces,Area of the park,Area Management,"0,67","0,54","0,53","0,52","0,49",cultural
Shift in level of pride in local cultural heritage,Heritage and Cultural Identity,Identity and local culture,City council of culture and historical heritage,Protection and management of cultural heritage,Cultural Facilities,"0,7","0,65","0,6","0,58","0,43",cultural
Sight line homogeneity,Feeling of belonging,Reliability,Air quality (no pollution),International embeddedness/International integration,Amenities,"0,46","0,45","0,42","0,41","0,41",cultural
Size,Adequacy,Density,Tax burden,Average trip length,Feeling of belonging,"0,53","0,52","0,46","0,46","0,4",cultural
Social bonds,Social Involvement,Social cohesion,Feeling of belonging,Community attachment,Adaptation for social inclusion,"0,75","0,69","0,66","0,65","0,6",cultural
Social preferences,Social Involvement,personality and neighbourhood,Adaptation for social inclusion,Participation in Cultural and Leisure Activities,"design features that allow for social interaction (parking, squares, etc)","0,58","0,5","0,49","0,45","0,43",cultural
Spaces rural pedestrian,Walkability,Territory consumed in areas not yet urbanized,Distance from the nearest residential area,Walking facilities,Forest area per capita,"0,53","0,48","0,45","0,45","0,41",cultural
Spatial coherence,Adequacy,Reliability,Social cohesion,Sharing mode,Sustainability of transport system,"0,53","0,51","0,49","0,46","0,43",cultural
Spiritual services,Safe cultural and religious sites,Use of ICT for disaster prevention and prediction and control and emergency response,Fire Prevention,Fire Department Emergency Coverage,Response time for fire,"0,43","0,4","0,39","0,34","0,34",cultural
Spiritual sites,Safe cultural and religious sites,Fire Prevention,Food deserts,Ambient pollutants,"Information privacy and security management, digital security (against hackers, etc.)","0,45","0,34","0,33","0,33","0,32",cultural
Spiritual value,Touristic attractiveness,"Preservation, valorization, and diffusion actions of material and intangible heritage","Fuel savings related to energy-efficiency interventions, in monetary terms","Using ICT for energy management, monitoring and saving (e.g., smart metering)",Use of ICT and smart technologies (e.g. RFID) for promoting well-being,"0,44","0,38","0,38","0,36","0,35",cultural
Spiritual/religious landscapes,Safe cultural and religious sites,Percentage of forest lands,Fire Department Emergency Coverage,Ambient pollutants,Fire Prevention,"0,52","0,48","0,42","0,39","0,37",cultural
Stakeholder appreciation of the historical significance of olive farming,Heritage and Cultural Identity,Local productivity,Family farming participation in crops and livestock,Number of officers engaged in biodiversity conservation strategies,Conservation of agricultural lands,"0,38","0,36","0,35","0,33","0,33",cultural
State of the building,Intelligent buildings,"Main ceiling, wall and floor material",Built,Percentage of built-up areas,Urban space hierarchy,"0,81","0,58","0,56","0,56","0,53",cultural
Statues (sacral/non sacral),Ethnic heterogeneity,Ethnic diversity,Voticpation voter,"Crime rate per 100,000 inhabitants.",VMT,"0,43","0,41","0,39","0,39","0,38",cultural
Structures: governance of cultural ecosystem services indicator,Cultural Facilities,Shared architecture for multi-level governance and inter-agency collaboration,Protection and management of cultural heritage,Access to Cultural Facilities,infrastructure sustainability indicator,"0,6","0,58","0,54","0,52","0,51",cultural
Study trails,Bike lane & trail mileage per sq. mile,Average trip length by trip purposea,Travel Choice,Trip length frequency,Land reclamation,"0,41","0,36","0,36","0,36","0,33",cultural
Sustainable use of heritage and local traditions in tourism,Heritage and Cultural Identity,Protection and management of cultural heritage,Local and sustainable industry,City council of culture and historical heritage,"Preservation, valorization, and diffusion actions of material and intangible heritage","0,68","0,62","0,57","0,54","0,51",cultural
